emp_no,first_name,birth_date,last_name,gender,salary,to_date
10001,Georgi,1953-09-02,Facello,M,60117,9999-01-01
10198,Pranav,1953-05-28,Furedi,M,44076,9999-01-01
10215,Xiaobin,1954-04-02,Duclos,M,43944,9999-01-01
10224,Leon,1954-05-17,Trogemann,M,40000,9999-01-01
10233,Lein,1954-04-01,Vendrig,F,40000,9999-01-01
10258,Basil,1955-12-12,Ishibashi,F,66280,9999-01-01
10272,Yishai,1954-11-30,Cannane,M,58070,9999-01-01
10282,Hercules,1953-11-27,Benzmuller,M,40000,9999-01-01
10283,Kauko,1953-07-08,Birjandi,M,40000,9999-01-01
10326,Masali,1953-02-13,Czap,F,40000,9999-01-01
10340,Djelloul,1952-08-20,Laventhal,M,68132,9999-01-01
10347,Pradeep,1953-10-03,Kaminger,M,42199,9999-01-01
10355,Satyanarayana,1952-12-10,Cochrane,M,70434,9999-01-01
10356,Vasilis,1952-08-12,Standera,M,45376,9999-01-01
10364,Nakhoon,1954-09-21,Dengi,M,51401,9999-01-01
10372,Anneli,1952-04-08,Frijda,F,54505,9999-01-01
10387,Parto,1952-11-03,Wrigley,F,61374,9999-01-01
10396,Sibyl,1955-08-21,Rahier,M,40393,9999-01-01
10402,Volkmar,1953-07-23,Ebeling,M,40000,9999-01-01
10404,Prodip,1955-04-27,Rosti,F,51647,9999-01-01
10426,Arunas,1955-12-28,Luce,F,65757,9999-01-01
10429,Martien,1952-02-13,Improta,F,40000,9999-01-01
10432,Hisao,1953-11-06,Tiemann,F,40000,9999-01-01
10451,Bodh,1952-10-06,Ranta,F,46275,9999-01-01
10453,Tsvetan,1953-07-19,Matzel,F,40000,9999-01-01
10463,Ung,1954-05-20,Zaiane,M,66480,9999-01-01
10486,Amstein,1952-08-24,Kossowski,F,71692,9999-01-01
10494,Yakkov,1953-12-21,Servieres,F,50094,9999-01-01
10504,Xiong,1953-04-07,Varker,M,43931,9999-01-01
10512,Udi,1955-11-16,Gihr,M,40000,9999-01-01
10522,Marke,1955-07-24,Cesareni,F,40000,9999-01-01
10548,Ramalingam,1952-06-12,Gunderson,M,90631,9999-01-01
10564,Jianhao,1955-04-14,Thisen,M,46660,9999-01-01
10623,Aleksander,1953-07-11,Danlos,F,60268,9999-01-01
10628,Krisda,1954-04-18,Krogh,M,41650,9999-01-01
10631,Inderjeet,1955-05-17,Chaudhuri,M,40000,9999-01-01
